Darwin International Airport,Darwin,Australia,-12.4147,130.877,au
Ayers Rock Connellan Airport,Uluru,Australia,-25.1861,130.976,au
Kingscote Airport,Kingscote,Australia,-35.7139,137.521,au
Hervey Bay Airport,Hervey Bay,Australia,-25.3189,152.88,au
Armidale Airport,Armidale,Australia,-30.5281,151.617,au
Blackall Airport,Blackall,Australia,-24.4278,145.429,au
Bundaberg Airport,Bundaberg,Australia,-24.9039,152.319,au
Hayman Island Heliport,Hayman Island,Australia,-20.0599,148.883,au
Thangool Airport,Biloela,Australia,-24.4939,150.576,au
Ballina Byron Gateway Airport,Ballina Byron Bay,Australia,-28.8339,153.562,au
Broome International Airport,Broome,Australia,-17.9447,122.232,au
Newcastle Airport,Newcastle,Australia,-32.795,151.834,au
Albany Airport,Albany,Australia,-34.9433,117.809,au
Argyle Airport,Argyle,Australia,-16.6369,128.451,au
Aurukun Airport,Aurukun,Australia,-13.3541,141.721,au
Barcaldine Airport,Barcaldine,Australia,-23.5653,145.307,au
Badu Island Airport,Badu Island,Australia,-10.15,142.173,au
Birdsville Airport,Birdsville,Australia,-25.8975,139.348,au
Broken Hill Airport,Broken Hill,Australia,-32.0014,141.472,au
Hamilton Island Airport,Hamilton Island,Australia,-20.3581,148.952,au
Bedourie Airport,Bedourie,Australia,-24.3461,139.46,au
Bourke Airport,Bourke,Australia,-30.0392,145.952,au
Burketown Airport,Burketown,Australia,-17.7486,139.534,au
Boigu Airport,Boigu,Australia,-9.23278,142.218,au
Oakey Airport,Oakey,Australia,-27.4114,151.735,au
Boulia Airport,Boulia,Australia,-22.9133,139.9,au
Bathurst Airport,Bathurst,Australia,-33.4094,149.652,au
Blackwater Airport,Blackwater,Australia,-23.6031,148.807,au
Carnarvon Airport,Carnarvon,Australia,-24.8802,113.672,au
Cobar Airport,Cobar,Australia,-31.5383,145.794,au
Coober Pedy Airport,Coober Pedy,Australia,-29.04,134.721,au
Coconut Island Airport,Coconut Island,Australia,-10.05,143.07,au
Cloncurry Airport,Cloncurry,Australia,-20.6686,140.504,au
Ceduna Airport,Ceduna,Australia,-32.1306,133.71,au
Cooktown Airport,Cooktown,Australia,-15.4447,145.184,au
Cunnamulla Airport,Cunnamulla,Australia,-28.03,145.622,au
Coonamble Airport,Coonamble,Australia,-30.9833,148.376,au
Coen Airport,Coen,Australia,-13.7611,143.113,au
Cooma Snowy Mountains Airport,Cooma,Australia,-36.3006,148.974,au
Doomadgee Airport,Doomadgee,Australia,-17.9403,138.822,au
Darnley Island Airport,Darnley Island,Australia,-9.58333,143.767,au
Devonport Airport,Devonport,Australia,-41.1697,146.43,au
Elcho Island Airport,Elcho Island,Australia,-12.0194,135.571,au
Esperance Airport,Esperance,Australia,-33.6844,121.823,au
Flinders Island Airport,Flinders Island,Australia,-40.0917,147.993,au
Geraldton Airport,Geraldton,Australia,-28.7961,114.707,au
Gladstone Airport,Gladstone,Australia,-23.8697,151.223,au
Groote Eylandt Airport,Groote Eylandt,Australia,-13.975,136.46,au
Griffith Airport,Griffith,Australia,-34.2508,146.067,au
Horn Island Airport,Horn Island,Australia,-10.5864,142.29,au
Hooker Creek Airport,Hooker Creek,Australia,-18.3367,130.638,au
Mount Hotham Airport,Mount Hotham,Australia,-37.0475,147.334,au
Hughenden Airport,Hughenden,Australia,-20.815,144.225,au
Julia Creek Airport,Julia Creek,Australia,-20.6683,141.723,au
Kalbarri Airport,Kalbarri,Australia,-27.6928,114.259,au
King Island Airport,King Island,Australia,-39.8775,143.878,au
Kalkgurung Airport,Kalkgurung,Australia,-17.4319,130.808,au
Karumba Airport,Karumba,Australia,-17.4567,140.83,au
Kowanyama Airport,Kowanyama,Australia,-15.4856,141.751,au
Kubin Airport,Kubin,Australia,-10.225,142.218,au
Leonora Airport,Leonora,Australia,-28.8781,121.315,au
Lake Evella Airport,Lake Evella,Australia,-12.4989,135.806,au
Lord Howe Island Airport,Lord Howe Island,Australia,-31.5383,159.077,au
Lockhart River Airport,Lockhart River,Australia,-12.7869,143.305,au
Lismore Airport,Lismore,Australia,-28.8303,153.26,au
Lightning Ridge Airport,Lightning Ridge,Australia,-29.4567,147.984,au
Longreach Airport,Longreach,Australia,-23.4342,144.28,au
Leinster Airport,Leinster,Australia,-27.8433,120.703,au
Laverton Airport,Laverton,Australia,-28.6136,122.424,au
Mabuiag Island Airport,Mabuiag Island,Australia,-9.95,142.183,au
Meekatharra Airport,Meekatharra,Australia,-26.6117,118.548,au
Merimbula Airport,Merimbula,Australia,-36.9086,149.901,au
Milingimbi Airport,Milingimbi,Australia,-12.0944,134.894,au
Maningrida Airport,Maningrida,Australia,-12.0561,134.234,au
McArthur River Mine Airport,McArthur River Mine,Australia,-16.4425,136.084,au
Mildura Airport,Mildura,Australia,-34.2292,142.086,au
Mount Magnet Airport,Mount Magnet,Australia,-28.1161,117.842,au
Moree Airport,Moree,Australia,-29.4989,149.845,au
Moranbah Airport,Moranbah,Australia,-22.0578,148.077,au
Moruya Airport,Moruya,Australia,-35.8978,150.144,au
Mount Gambier Airport,Mount Gambier,Australia,-37.7456,140.785,au
Mornington Island Airport,Mornington Island,Australia,-16.6625,139.178,au
Murray Island Airport,Murray Island,Australia,-9.91667,144.055,au
Maryborough Airport,Maryborough,Australia,-25.5133,152.715,au
Narrandera Airport,Narrandera,Australia,-34.7022,146.512,au
Narrabri Airport,Narrabri,Australia,-30.3192,149.827,au
Normanton Airport,Normanton,Australia,-17.6841,141.07,au
Newman Airport,Newman,Australia,-23.4178,119.803,au
Olympic Dam Airport,Olympic Dam,Australia,-30.485,136.877,au
Port Augusta Airport,Argyle,Australia,-32.5069,137.717,au
Palm Island Airport,Palm Island,Australia,-18.7553,146.581,au
Paraburdoo Airport,Paraburdoo,Australia,-23.1711,117.745,au
Gove Airport,Gove,Australia,-12.2694,136.818,au
Parkes Airport,Parkes,Australia,-33.1314,148.239,au
Port Lincoln Airport,Port Lincoln,Australia,-34.6053,135.88,au
Pormpuraaw Airport,Pormpuraaw,Australia,-14.8965,141.609,au
Port Macquarie Airport,Port Macquarie,Australia,-31.4358,152.863,au
Portland Airport,Portland,Australia,-38.3181,141.471,au
Quilpie Airport,Quilpie,Australia,-26.6122,144.253,au
Ramingining Airport,Ramingining,Australia,-12.3564,134.898,au
Roma Airport,Roma,Australia,-26.545,148.775,au
St George Airport,St George,Australia,-28.0497,148.595,au
Shark Bay Airport,Shark Bay,Australia,-25.8939,113.577,au
Saibai Island Airport,Saibai Island,Australia,-9.37833,142.625,au
Strahan Airport,Strahan,Australia,-42.155,145.292,au
Thargomindah Airport,Thargomindah,Australia,-27.9864,143.811,au
Tennant Creek Airport,Tennant Creek,Australia,-19.6344,134.183,au
Victoria River Downs Airport,Victoria River Downs,Australia,-16.4021,131.005,au
Warraber Island Airport,Sue Islet,Australia,-10.2083,142.825,au
Windorah Airport,Windorah,Australia,-25.4131,142.667,au
Whyalla Airport,Whyalla,Australia,-33.0589,137.514,au
Wiluna Airport,Wiluna,Australia,-26.6292,120.221,au
Wollongong Airport,Wollongong,Australia,-34.5611,150.789,au
Winton Airport,Winton,Australia,-22.3636,143.086,au
Wynyard Airport,Burnie,Australia,-40.9989,145.731,au
Yorke Island Airport,Yorke Island,Australia,-9.7528,143.406,au
Yam Island Airport,Yam Island,Australia,-9.90111,142.776,au
Mount Keith Airport,Mount Keith,Australia,-27.2864,120.555,au
Grafton Airport,Grafton,Australia,-29.7594,153.03,au
Orange Airport,Orange,Australia,-33.3817,149.133,au
Taree Airport,Taree,Australia,-31.8886,152.514,au
Goulburn Airport,Goulburn,Australia,-34.8103,149.726,au
Cessnock Airport,Cessnock,Australia,-32.7875,151.342,au
Scone Airport,Scone,Australia,-32.0372,150.832,au
Mudgee Airport,Mudgee,Australia,-32.5625,149.611,au
Maitland Airport,Maitland,Australia,-32.7013,151.493,au
Oceanside Municipal Airport,Fraser Island,Australia,33.2173,-117.354,au
Bungle Bungle Airport,Bungle Bungle,Australia,-17.5453,128.307,au
Whitsunday Island Airport,Airlie Beach,Australia,-20.2761,148.755,au
RAAF Base Amberley,Amberley,Australia,-27.6406,152.712,au
Tindal Airport,Katherine,Australia,-14.5211,132.378,au
RAAF Williams Laverton Base,Laverton,Australia,-37.8636,144.746,au
Nowra Airport,Nowra,Australia,-34.9489,150.537,au
RAAF Base Pearce,Perth,Australia,-31.6678,116.015,au
Bendigo Airport,Bendigo,Australia,-36.7394,144.33,au
Toowoomba Airport,Toowoomba,Australia,-27.5428,151.916,au
Ballera Airport,Ballera,Australia,-27.4056,141.809,au
Gatton Campus Airport,Gatton,Australia,-27.5604,152.34,au
Barrow Island Airport,Barrow Island,Australia,-20.8644,115.406,au
Derby Airport,Derby,Australia,-17.37,123.661,au
Walgett Airport,Walgett,Australia,-30.0328,148.126,au
Bathurst Island Airport,Bathurst Island,Australia,-11.7692,130.62,au
Dunk Island Airport,Dunk Island,Australia,-17.9417,146.14,au
Lizard Island Airport,Lizard Island,Australia,-14.6733,145.455,au
Hamilton Airport,Hamilton,Australia,-37.6489,142.065,au
Halls Creek Airport,Halls Creek,Australia,-18.2339,127.67,au
Fitzroy Crossing Airport,Fitzroy Crossing,Australia,-18.1819,125.559,au
Ravensthorpe Airport,Ravensthorpe,Australia,-33.7972,120.208,au
Geelong Airport,Geelong,Australia,-38.225,144.333,au
Penneshaw Airport,Penneshaw,Australia,-35.7558,137.963,au
